id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,ROLE_WINDOW_HATE,"run1:ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE; run3:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 일베 온라인 커뮤니티를 세월호 사건에 대한 혐오·공감 담론을 비교·분석하는 사례로 삼아, 두 집단의 의식·가치·서사를 해석적으로 재구성한다 | 이 논문은 일베 등 온라인 커뮤니티를 세월호 사건에 대한 혐오 담론을 생산하는 사례로 삼아, 공감·혐오의 의식구조와 생활세계 차이를 비교·분석한다 | 이 논문은 일베와 같은 온라인 커뮤니티를 혐오 담론이 생성·표현되는 사례로 삼아, 세월호 사건에 대한 사회적 감정(공감·혐오)의 구조와 차이를 비교·분석한다","논문은 일베 커뮤니티의 혐오 담론을 사례로 삼아 세월호 사건에 대한 공감·혐오의 의식 구조를 분석하므로, 혐오 현상을 설명하는 WINDOW_HATE 코드에 높은 확률을 부여하고, 다른 FIELD·WINDOW·ENV 코드들은 초록에 해당 근거가 없거나 매우 약해 낮은 확률로 평가한다 | 온라인 커뮤니티(일베)를 혐오 담론 생산 사례로 삼아 공감·혐오의 구조를 비교 분석하였으므로 ROLE_WINDOW_HATE 코드에 높은 확률을 부여하고, 다른 FIELD·WINDOW·ENV 코드들은 논문 내용에 근거가 없어 낮은 확률로 평가한다 | 논문은 온라인 커뮤니티(일베)를 혐오 담론이 생산되는 사례로 활용해 세월호 사건에 대한 공감·혐오 양상과 그 양극화를 분석하므로 ROLE_WINDOW_HATE와 ROLE_WINDOW_POLARIZE에 높은 확률을 부여하고, 다른 FIELD·ENV 코드는 본문에 해당 근거가 없어 낮은 확률로 평가한다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:ENV_COMMUNITY_SUBSCRIPTION; run2:ENV_ONLINE_ANNONIMITY; run3:없음,True,True,True,"이 논문은 온라인 커뮤니티를 신뢰(사회적 자본) 형성·소멸이 동시에 일어나는 관계적 공간으로 삼아, 회원제 여부와 익명성 수준이라는 환경 조건에 따라 신뢰반경이 확대되거나 축소되는 양면적 효과를 분석한다 | 이 논문은 온라인 커뮤니티 활동이 신뢰반경을 확대·축소하는 양면적 효과와 그 메커니즘을 분석하고, 회원제·비회원제 구분과 익명성 수준에 따라 그 효과가 어떻게 달라지는지를 검증한다 | 이 논문은 온라인 커뮤니티를 낯선 타인과의 신뢰 관계가 형성·변화하는 장으로 삼아, 활동이 신뢰반경을 확대하거나 축소하는 양면적 효과와 익명성·회원제 여부에 따른 차이를 분석한다","논문은 온라인 커뮤니티를 신뢰라는 사회적 자본이 형성·소멸되는 관계적 장으로 보고, 회원제 여부와 익명성 수준이라는 두 환경 변수를 통해 그 효과가 달라지는지를 실증적으로 검증하므로 FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드에 높은 확률을 부여한다 | 논문은 온라인 커뮤니티를 신뢰반경이라는 사회적 자본 형성의 장으로 보고, 회원제·비회원제 구분과 익명성 수준이라는 환경 조건이 그 효과에 미치는 차이를 실증적으로 분석하므로 ROLE_FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, 그리고 ENV_ONLINE_ANNONIMITY 코드가 높은 확률로 부여된다 | 논문은 온라인 커뮤니티 내에서 신뢰(사회적 자본)의 형성과 변화를 중심으로 분석하고, 회원제 여부가 효과에 미치는 차이를 검증하므로 ROLE_FIELD_SOCIALCAPITAL과 ENV_COMMUNITY_SUBSCRIPTION 코드에 높은 확률을 부여한다."
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_POLARIZE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 펨코를 사례로 삼아 청년 남성의 보수·극우화 담론을 비판적으로 재검토하고, 그 담론이 정치적 양극화와 성(젠더) 갈등을 어떻게 드러내는지를 분석한다 | 이 논문은 펨코를 청년 남성의 보수·극우화 담론이 나타나는 사례로 삼아, 정치적 양극화와 성별·세대 갈등을 동시에 분석한다 | 이 논문은 온라인 커뮤니티를 청년 남성의 보수·극우 담론이 형성·표현되는 사례로 삼아, 성별·정치적 갈등을 비판적으로 재검토하고 그 메커니즘을 탐색한다","논문은 펨코를 창으로 삼아 청년 남성의 보수·극우화 담론을 분석함으로써 정치적 양극화와 젠더 갈등을 드러내는 현상을 조명하므로 ROLE_WINDOW_POLARIZE와 ROLE_WINDOW_GENDER에 높은 확률을 부여하고, 커뮤니티 자체의 공론장 기능·사회적 자본·환경적 조건 등에 대한 분석은 없으므로 나머지 코드는 낮은 확률로 미부여 처리한다 | 논문은 펨코를 청년 남성 보수·극우화라는 정치적 양극화 현상의 사례로 활용하고, 동시에 성별·세대 갈등을 다루므로 ROLE_WINDOW_POLARIZE와 ROLE_WINDOW_GENDER 코드에 근거가 존재한다. | 논문은 온라인 커뮤니티를 청년 남성의 보수·극우·성별 갈등이 드러나는 현상(윈도우)으로 분석하고, 해당 현상을 설명하는 문장을 근거로 POLARIZE와 GENDER 코드를 부여했으며, 다른 FIELD·ENV 코드에 대한 근거는 텍스트에 존재하지 않아 미부여로 처리하였다"
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시글을 자료로 삼아, 노동통제 체제와 현장 내 적대·연대 관계, 그리고 계급적 정체성 형성을 분석한다 | 이 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시글을 자료로 삼아, 노동통제 체제와 노동자 간의 적대·연대 관계, 그리고 계급 의식을 분석한다 | 이 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시글을 자료로 삼아, 노동통제 체제와 현장 내 적대·연대 관계, 그리고 계급적 정체성 형성을 분석한다","논문은 온라인 커뮤니티에 올라온 노동자 서사를 통해 현장 내 적대·연대 관계와 계급 정체성 형성을 탐구하므로, 사회적 관계·연결을 분석하는 FIELD_SOCIALCAPITAL 코드에 가장 부합한다; 다른 WINDOW·FIELD·ENV 코드들은 초록에 해당 근거가 없으므로 낮은 확률로 평가한다 | 논문은 온라인 커뮤니티에 게시된 노동체험 서사를 통해 노동자 간의 적대·연대 관계와 계급 의식을 분석하므로, 사회적 관계와 자본(신뢰·연대) 형성을 다루는 FIELD_SOCIALCAPITAL 코드에 가장 부합한다. | 논문은 온라인 커뮤니티에 올라온 노동자 서사를 통해 현장 내 적대·연대 관계와 계급 의식 형성을 탐구하므로, 사회적 관계와 자본(신뢰·연대) 형성을 분석하는 FIELD_SOCIALCAPITAL 코드가 가장 부합한다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 온라인 커뮤니티를 사회자본과 공감 경험이 형성되는 장으로 삼아, 윤리적 소비 참여 의도에 미치는 영향을 분석한다 | 이 논문은 인터넷 커뮤니티를 청년들의 사회자본과 공감 경험이 형성되는 공간으로 삼아, 이러한 관계가 윤리적 소비 참여 의도에 미치는 영향을 분석한다 | 이 논문은 인터넷 커뮤니티를 사회자본과 공감 경험이 형성·작용하는 공간으로 삼아, 윤리적 소비 참여 의도에 미치는 영향을 분석한다","논문은 온라인 커뮤니티 내에서 결속적·교량적 사회자본과 공감 경험이 윤리적 소비 의도에 미치는 경로를 분석하므로, 사회자본이 형성되는 장으로서의 FIELD_SOCIALCAPITAL 코드가 가장 부합한다. | 논문은 온라인 커뮤니티를 사회자본과 공감 경험이 형성되는 장(field)으로 분석하고, 그 결과가 윤리적 소비 참여에 미치는 영향을 규명하므로 ROLE_FIELD_SOCIALCAPITAL에 높은 확률을 부여하고, 다른 코드들은 근거가 되는 구체적 문장이 없으므로 낮은 확률로 평가한다 | 논문은 온라인 커뮤니티 내에서 형성되는 결속적·교량적 사회자본과 공감 경험이 윤리적 소비 참여 의도에 미치는 영향을 분석하므로, 사회자본을 중심으로 한 FIELD_SOCIALCAPITAL 코드에 높은 확률을 부여하고, 다른 WINDOW·ENV 코드들은 연구 초점과 일치하지 않아 낮은 확률로 미부여 처리한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL",OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 온라인 커뮤니티를 공론장으로 삼아, 사용자 집단의 다양성과 게시글 추천 수 사이의 관계를 분석함으로써 포괄적 여론 형성 메커니즘을 탐구한다 | 이 논문은 온라인 커뮤니티를 공론장으로 보고, 사용자 집단의 다양성과 균등한 참여가 게시글 추천 투표수에 미치는 영향을 분석한다 | 이 논문은 온라인 커뮤니티를 공론장으로 삼아, 사용자 집단의 다양성과 게시글 추천 수 사이의 관계를 분석함으로써 포괄적 여론 형성 메커니즘을 탐구한다","논문은 추천 투표수를 통해 커뮤니티 내 의견이 어떻게 포괄적 여론으로 형성되는지를 검토하며, 이는 공론장 역할을 평가하는 분석이므로 ROLE_FIELD_PUBLICSPHERE 코드에 높은 확률을 부여하고, 다른 WINDOW·FIELD·ENV 코드들은 논문 내용에 해당 근거가 없으므로 낮은 확률로 미부여 처리한다 | 초록에서 온라인 커뮤니티를 공론장으로서의 역할과 추천 투표가 포괄적 여론 형성에 미치는 영향을 직접 논의하고 있으므로 ROLE_FIELD_PUBLICSPHERE 코드에 높은 확률을 부여하고, 다른 ROLE·ENV 코드들은 해당 내용이 근거 문장으로 제시되지 않아 낮은 확률로 평가한다 | 논문은 추천 투표가 다양한 사용자 집단의 의견을 반영하는 정도를 분석하며, 이를 통해 온라인 커뮤니티가 포괄적 여론을 형성하는 공론장으로서의 역할과 한계를 논의하므로 ROLE_FIELD_PUBLICSPHERE 코드에 높은 확률을 부여한다; 다른 FIELD, WINDOW, ENV 코드들은 초록에 해당 연구 초점과 직접적인 근거가 없으므로 낮은 확률로 미부여 처리한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷 공간을 인간행위의 합리성을 탐구하는 사례로 삼아, 베버의 합리성 이론을 적용해 온라인 활동의 합리화 과정을 분석한다 | 이 논문은 인터넷 커뮤니티를 인간 행위의 합리성을 탐구하는 사례로 삼아, 베버의 합리성 개념을 적용해 온라인 활동을 이론적으로 분석한다 | 이 논문은 온라인 커뮤니티를 베버의 합리성 개념을 적용해 인간행위의 합리성을 탐구하는 사례로 삼아, 인터넷 활동이 어떻게 합리화될 수 있는지를 분석한다","논문은 온라인 커뮤니티를 베버의 합리성 이론을 적용해 인간행위의 합리화 과정을 설명하는 사례로 활용하므로, WINDOW_MISC 코드가 가장 적합하며 다른 FIELD·WINDOW·ENV 코드들은 근거가 부족해 부여되지 않는다 | 논문은 온라인 커뮤니티를 베버의 합리성 이론을 적용해 인간 행위의 합리성을 탐구하는 사례로 사용하므로, WINDOW_MISC 코드가 가장 적합하며 다른 FIELD·WINDOW·ENV 코드들은 근거가 부족해 부여되지 않는다 | 논문은 온라인 커뮤니티를 베버의 합리성 이론을 적용해 인간행위의 합리성을 설명하는 사례로 사용하므로 WINDOW_MISC 코드가 가장 부합한다; 다른 FIELD·WINDOW·ENV 코드들은 초록에 해당 현상이나 비교·분석 내용이 없으므로 낮은 확률로 미부여 처리한다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 미술계 온라인 커뮤니티를 공론장이자 협력망으로 삼아, 토픽 모델링을 통해 미술계 지형과 담론 변화를 분석한다 | 이 논문은 미술계 온라인 커뮤니티를 공론장이자 협력망으로 삼아, 토픽 모델링을 통해 미술계 지형과 담론 변화를 분석한다 | 이 논문은 미술계 온라인 커뮤니티를 공론장으로서의 역할과 협력망·관계 형성의 장으로서의 기능을 동시에 조명하며, 텍스트마이닝을 통해 미술계 지형과 담론 변화를 분석한다","논문은 온라인 커뮤니티를 공론장과 협력망(사회적 자본)으로 바라보고 그 담론을 토픽 모델링으로 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드에 높은 확률을 부여하고, 다른 WINDOW·ENV 코드들은 본문에 해당 근거가 없으므로 낮은 확률로 미부여 처리한다 | 논문은 온라인 커뮤니티를 공론장과 협력망(사회적 자본)으로 바라보고, 그 담론을 토픽 모델링으로 분석한다는 점에서 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 적합하다. | 논문은 온라인 커뮤니티를 공론장과 협력망(사회적 자본)으로서 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드에 높은 확률을 부여하고, 다른 WINDOW·ENV 코드들은 본문에 해당 근거가 없으므로 낮은 확률로 미부여 처리한다"
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 온라인 커뮤니티 사례를 통해 한국 결혼식 문화에서 나타나는 역할 대행이라는 현상의 인상 관리와 감정 수행성을 분석한다 | 이 논문은 온라인 커뮤니티를 사례로 삼아 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행성을 분석한다 | 이 논문은 온라인 커뮤니티 사례를 통해 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행이라는 사회현상을 설명한다,온라인 커뮤니티를 한국 결혼식 문화의 역할 대행 현상을 설명하는 사례로 활용하여 인상 관리와 감정 수행성을 분석하므로 WINDOW_MISC 코드가 가장 부합한다 | 온라인 커뮤니티를 사례로 활용해 결혼식 문화의 인상 관리와 감정 수행성을 탐구하므로 WINDOW_MISC 코드가 가장 적합하다. | 온라인 커뮤니티를 사례로 삼아 결혼식 문화의 인상 관리와 감정 수행이라는 외부 사회현상을 분석하므로 WINDOW_MISC 코드가 가장 높은 확률을 갖는다
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,ROLE_WINDOW_GENDER,ROLE_WINDOW_GENDER,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE",OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE","run1:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",False,0/3,run1:ROLE_WINDOW_GENDER; run2:ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_POLARIZE,True,True,True,"이 논문은 일베 커뮤니티의 게시물을 분석해 극우 프레임과 감정 정치가 어떻게 혐오·양극화·젠더 갈등을 생산·확산시키는지를 설명한다 | 이 논문은 일베 커뮤니티를 사례로 삼아 혐오·분노 감정의 확산 과정과 그 프레임이 정치·성별 갈등으로 어떻게 재편성되는지를 분석한다 | 이 논문은 일베 커뮤니티를 사례로 삼아, 혐오·분노 감정의 확산 과정과 정치·사회적 양극화, 그리고 남녀 대립이라는 젠더 프레임이 어떻게 생산·재편성되는지를 분석한다","일베 커뮤니티 게시물 분석을 통해 극우 프레임이 혐오와 양극화, 그리고 남녀 대립이라는 젠더 갈등을 어떻게 구조화하고 확산시키는지를 보여주므로 ROLE_WINDOW_HATE, ROLE_WINDOW_POLARIZE, ROLE_WINDOW_GENDER 코드에 높은 확률을 부여하고, 다른 FIELD·ENV 코드는 초록에 해당 근거가 없으므로 미부여한다 | 일베 커뮤니티의 게시물 분석을 통해 혐오·분노 감정 확산(ROLE_WINDOW_HATE), 성별 대립 프레임(ROLE_WINDOW_GENDER), 그리고 진보·보수 간 대립을 통한 정치적 양극화(ROLE_WINDOW_POLARIZE)를 드러내므로 해당 WINDOW 코드들이 높은 확률을 받으며, FIELD·ENV 코드들은 논문 내용에서 근거가 없으므로 미부여로 남는다 | 일베 커뮤니티의 게시물 분석을 통해 혐오·분노 확산(ROLE_WINDOW_HATE), 진보와 보수 사이의 대립(ROLE_WINDOW_POLARIZE), 그리고 남녀 대결 프레임(ROLE_WINDOW_GENDER)이 주요 연구 대상으로 드러나므로 해당 WINDOW 코드에 높은 확률을 부여하고, 다른 FIELD·ENV 코드들은 논문 내용에 근거가 없으므로 낮은 확률로 미부여 처리한다"
